,Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,"Property, Plant & Equipment Net",Total assets,Total liabilities,Retained earnings (deficit),Total shareholders equity,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,returnOnEquity,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Price to Sales Ratio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Invested Capital,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Sector,Class,2015 PRICE VAR [%]
PG,39912360000.0,15374950000.0,6623941733.656173,10529209026.087639,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,4.19,4.01,1378612731.1199982,1357136667.8999963,0.4754,0.247,0.2043,0.156,0.1359,6975319999.999995,4984315999.999997,3278711732.522755,0.1948,0.1565,6376899999.999985,19467000000.0,108992449999.99988,73246454407.49065,16864965145.436275,24434214427.899364,1960250000.0000043,5775839999.999995,-2815440000.0,-4100000000.0,-2759109880.7495604,768053239.9999998,3666010000.0,2.8583,0.1664,0.5157209598935301,5.1582,3.964,3.1626,27.4952,4.3027,5.1582,3.964,3.1626,25.86,22.069000000000006,25.86,2.8583,0.0533,1.1988,0.2885,-1.2251,59719000000.0,52852000000.0,0.1664,-1.422,-0.1185,-0.0001,0.0067,Consumer Defensive,0,-9.323275997445537
VIPS,3734148046.4966,928522602.5186,344141427.1876,793926703.2612,134595899.2573,175382305.4569,135822731.6758,135822731.6758,0.2396,0.226,200732020.42437267,18293619.9548,0.2487,0.0107,0.0502,0.0058,0.0704,245685824.9919,187530997.7397,121503551.8243,0.047,0.0364,773514853.0836,308597513.723,2736687278.011,2301093477.5589,4285437.5202,412354536.6484,58154827.2522,526745560.2196,-263704552.793,-686693574.4269,621913626.0898,446316919.5996,263041007.4265,0.0443,0.3294,1.3644774382883,35.6714,11.134759999999979,52.3827,252.8778,9.198,35.6714,11.550999999999998,52.3827,0.7278,4.4939,27.9248,0.0443,0.0123,3.8782,0.0922,-4.5345,2546028576.0413,755350984.8239999,0.3294,-17.8582,1.2489,1.6142,1.9463,Consumer Defensive,0,-25.512192888957696
KR,39912360000.0,15374950000.0,6623941733.656173,10529209026.087639,2725000000.0,2270000000.0,1519000000.0,1519000000.0,1.47,1.45,1033052512.0,1028000000.0,0.2057,0.045,0.0276,0.015,0.0126,4416000000.0,2713000000.0,1531000000.0,0.0231,0.0154,401000000.0,16893000000.0,29281000000.0,23886000000.0,10981000000.0,5384000000.0,1703000000.0,3573000000.0,-2330000000.0,-4771000000.0,1361000000.0,163000000.0,1243000000.0,0.1858,0.2821,2.6762641560515705,3.4757,0.8370000000000001,0.3901,95.6955,1.4776,3.4757,0.8370000000000001,0.3901,5.237,25.724,5.2374,0.1858,0.0831,2.3522,0.1545,-1.3682,26444000000.0,26648000000.0,0.2821,-2.2665,0.0173,-0.0145,-0.0141,Consumer Defensive,1,33.11829671550496
RAD,25526413000.0,7323734000.0,6561162000.0,6586482000.0,737252000.0,250218000.0,249414000.0,215416000.0,4.6,4.6,48326279.0,48326279.0,0.2869,0.042,0.0264,0.008,0.0144,1078550000.0,674809000.0,249414000.0,0.0098,0.0098,146406000.0,1957329000.0,6944871000.0,9058573000.0,-1424843000.0,-41139500.0,403741000.0,702046000.0,-333870000.0,-364924000.0,-320168000.0,16954000.0,368176000.0,0.2491,-0.118,2.6762641560515705,14.5272,0.557,3.0295,528.2098,5.1610000000000005,14.5272,0.557,3.0295,-4.80064,134.785,-4.80041,0.2491,0.035,3.259,0.257,-0.8269,6513644000.0,9616929000.0,-0.118,-6.9087,0.0007,0.2904,0.1113,Consumer Defensive,1,2.7522914680574364
GIS,17909600000.0,6369800000.0,3474300000.0,3412400000.0,2957400000.0,2707700000.0,1824400000.0,1824400000.0,2.9,2.83,614492206.0,614492206.0,0.3557,0.201,0.1681,0.102,0.1052,3595500000.0,3010100000.0,1861300000.0,0.1512,0.1019,867300000.0,3941900000.0,23145700000.0,15156200000.0,11787200000.0,6534800000.0,585400000.0,2541000000.0,-656900000.0,-561800000.0,-1824100000.0,125900000.0,1884100000.0,1.861,0.2792,0.77377655460842,4.1351,3.624,1.4114,29.1454,2.969,4.1351,3.624,1.4114,10.634,15.429,10.6345,1.861,0.0535,1.3928,0.194,-1.1221,9480900000.0,11975900000.0,0.2792,-1.069,-0.0084,0.0332,0.037000000000000005,Consumer Defensive,1,12.897715165910551
PM,39912360000.0,15374950000.0,6623941733.656173,7629000000.0,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,4.76,4.76,1378612731.1199982,1357136667.8999963,0.2413,0.156,0.1453,0.094,0.0822,6975319999.999995,4984315999.999997,3278711732.522755,0.1322,0.0935,1682000000.0,6071000000.0,35187000000.0,46390000000.0,16864965145.436275,-41139500.0,889000000.0,5775839999.999995,-1153000000.0,-996000000.0,-2759109880.7495604,-472000000.0,3666010000.0,1.5798,-0.5933,2.2765794185353,4.981,4.239,1.0826,51.5577,4.8226,4.981,4.239,1.0826,-4.80064,15.327,-4.80041,1.5798,0.0584,1.0328,0.0874,-1.297,23814000000.0,36475000000.0,-0.5933,-0.7421,-0.0709,-0.1193,-0.1341,Consumer Defensive,1,13.980936777937483
KO,39912360000.0,15374950000.0,6623941733.656173,10529209026.087639,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,1.62,1.6,1378612731.1199982,1357136667.8999963,0.6111,0.256,0.2127,0.154,0.1833,6975319999.999995,4984315999.999997,3278711732.522755,0.2022,0.1543,6376899999.999985,14633000000.0,92023000000.0,61462000000.0,16864965145.436275,24434214427.899364,1960250000.0000043,5775839999.999995,-2183000000.0,-5588140000.0,-2759109880.7495604,-522375466.529576,3666010000.0,4.0204,0.2341,0.49985329754518,2.4196,1.922,4.1053,10.4851,1.618,2.4196,1.922,4.1053,6.9110000000000005,14.965,6.9113,4.0204,0.0384,1.4955,0.3743,-1.1048,65651000000.0,57012000000.0,0.2341,-0.4976,-0.0114,-0.1778,-0.0508,Consumer Defensive,1,5.339412837835392
WMT,39912360000.0,15374950000.0,6623941733.656173,10529209026.087639,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,4.9,4.88,1378612731.1199982,1357136667.8999963,0.2482,0.07400000000000001,0.0556,0.034,0.0228,6975319999.999995,4984315999.999997,3278711732.522755,0.0507,0.0336,6376899999.999985,19467000000.0,108992449999.99988,73246454407.49065,16864965145.436275,24434214427.899364,1960250000.0000043,5775839999.999995,-2815440000.0,-5588140000.0,-2759109880.7495604,-500000000.0,3666010000.0,0.5073,0.2101,2.326210860997,7.1144,3.92,2.2273,145.7002,4.9012,7.1144,3.92,2.2273,23.327,56.666,23.3267,0.5073,0.0656,1.4516,0.1918,-1.3966,82353249999.99979,85685600000.00005,0.2101,-3.7895,0.0161,-0.0273,-0.0308,Consumer Defensive,0,-26.65370178517993
MDLZ,34244000000.0,12597000000.0,6623941733.656173,9355000000.0,3242000000.0,2537000000.0,2184000000.0,2184000000.0,1.29,1.28,1378612731.1199982,1357136667.8999963,0.3679,0.125,0.0942,0.064,0.0563,4284000000.0,3225000000.0,2201000000.0,0.0741,0.0638,1631000000.0,9827000000.0,66771000000.0,38918000000.0,14529000000.0,24434214427.899364,1059000000.0,3562000000.0,-1635000000.0,-1642000000.0,-2688000000.0,-522375466.529576,1927000000.0,1.7823,0.0787,0.51285737820311,2.1203,1.147,0.9709,20.3843,1.3001,2.1203,1.147,0.9709,16.519000000000002,13.719,16.5186,1.7823,0.0355,1.631,0.247,-1.5439,23047000000.0,24065000000.0,0.0787,-0.9733,-0.0391,-0.4193,-0.1774,Consumer Defensive,1,23.809817736521
MO,24522000000.0,10160000000.0,2539000000.0,2540000000.0,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,2.56,2.56,1378612731.1199982,1357136667.8999963,0.4143,0.358,0.35,0.207,0.1835,6975319999.999995,4984315999.999997,3278711732.522755,0.317,0.2068,3321000000.0,1983000000.0,34475000000.0,31430000000.0,16864965145.436275,3014000000.0,208000000.0,4663000000.0,-163000000.0,110162089.99999987,-2759109880.7495604,146000000.0,3666010000.0,3.9712,0.7597259999999966,0.71129804205946,2.3593,2.277,1.6803,12.407,2.5652,2.3593,2.277,1.6803,1.525,8.673,1.5249,3.9712,0.052000000000000005,0.9197,0.1035,-0.7837,17141000000.0,20840000000.0,0.7600679999999989,-0.0825,-0.0284,0.07400000000000001,-0.0574,Consumer Defensive,1,23.865489302331603
