,Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,returnOnEquity,assetTurnover,currentRatio,quickRatio,cashRatio,Price to Sales Ratio,Earnings Yield,Income Quality,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Invested Capital,ROE,Gross Profit Growth,Operating Income Growth,Operating Cash Flow growth,Sector,Class,2016 PRICE VAR [%]
PG,32578800000.000015,14554530625.83416,6376499999.999994,9820627155.265985,4374394599.406565,3811930623.145408,2945109999.999978,2984166824.925854,2.5,2.44,1240626191.4000022,1209503567.3304286,0.4762,0.1468,0.1537,6932283261.231259,4558338241.042354,3112309351.409623,0.138,0.0995,5544279999.999984,8074379385.342812,22385388652.482235,19655000000.0,100579249999.99992,22428295870.000042,64216210563.79823,16253868239.765818,22579866913.51845,9634000000.0,1967800000.000002,5535029999.999994,-2646509537.2378783,-2890000000.0,-2307700000.0,-754890021.91495,3579950000.0000076,3.0003,0.1116,0.5463454187420399,0.995,0.5428331654917801,0.22947297750923,3.0003,0.032,2.0762,-1.1921,59863000000.0,-36799000000.0,53582000000.0,0.1116,-0.0474,-0.2057,0.0466,Consumer Defensive,1,10.809451225737083
VIPS,6193685410.5685,1524647820.0585,522387921.7378,1205660144.8159,318987675.2426,315422893.2368,244902942.5358,244902942.5358,0.4234,0.4076,17962698.6597,17830240.6409,0.2462,0.0531,-0.0562,418150824.2181,328635341.2417,232431366.5075,0.0509,0.0395,512152826.9912,790600369.7427,1872327222.3078,454414419.9661,3086661839.47,1874281158.5272,2530003851.4867,248992297.0267,545244800.493,803994916.0376,89515482.9764,295037128.3315,-643172546.603,-452520258.8199,-83058696.6569,-225907718.3793,-348135418.2715,0.0443,0.4492,2.0065966836302,0.1539,0.60698272943381,0.27325293468438,0.0443,0.0277,1.2047,-7.103100000000001,2924805114.7743,-657676629.1789,1178207980.2804,0.4492,0.642,1.37,-0.4399,Consumer Defensive,0,-21.63701011091605
KR,32578800000.000015,14554530625.83416,6376499999.999994,9820627155.265985,3137000000.0,2630000000.0,1728000000.0,1728000000.0,1.74,1.72,982648792.0,981000000.0,0.2116,0.0287,0.0128,5066000000.0,3118000000.0,1747000000.0,0.0242,0.0159,268000000.0,268000000.0,8911000000.0,17912000000.0,30497000000.0,11392000000.0,25055000000.0,12367000000.0,5412000000.0,4466000000.0,1948000000.0,4215000000.0,-2646509537.2378783,-3060000000.0,-1288000000.0,-133000000.0,1384000000.0,0.3156,0.3193,2.4435199560559515,0.782,0.1346558988764,0.023525280898876,0.3156,0.0499,2.4392,-1.4533,27436000000.0,-16144000000.0,27373000000.0,0.3193,0.1342,0.1512,0.1797,Consumer Defensive,0,-15.036503138433735
RAD,26528377000.0,7576732000.0,6376499999.999994,6733788000.0,842944000.0,426820000.0,2109173000.0,2109173000.0,7.240799999999999,7.073399999999998,49091328.0,49091328.0,0.2856,0.0311,0.0084,1241060000.0,824432000.0,2109173000.0,0.0161,0.0795,115899000.0,115899000.0,4221758000.0,2091369000.0,8777425000.0,2485000000.0,8720369000.0,-1550013960.0,57056000.0,1251104000.0,416628000.0,648959000.0,-426828000.0,-593685000.0,-85781000.0,-30507000.0,222131000.0,0.302,0.9968170000000012,2.4435199560559515,1.699,0.44136941649899,0.046639436619717985,0.302,0.16460299999999994,0.3077,-1.0245,8279821000.0,-4498611000.0,11238038000.0,0.9972699999999972,0.0345,0.1434,-0.0756,Consumer Defensive,1,4.303799399846716
GIS,17630300000.0,5949200000.0,3328000000.0,3871900000.0,2077300000.0,1808100000.0,1221300000.0,1221300000.0,2.02,1.97,596089958.0,596089958.0,0.3374,0.1204,0.1044,2711800000.0,2123500000.0,1259400000.0,0.1026,0.0693,334200000.0,334200000.0,3685600000.0,3783300000.0,21832000000.0,4890100000.0,15660400000.0,11990800000.0,4996700000.0,1589900000.0,588300000.0,2542800000.0,-701400000.0,-1602200000.0,-1384800000.0,-533100000.0,1841400000.0,1.9032,0.2444,0.80754397215097,0.754,0.35191509376085994,0.06834216069201,1.9032,0.0359,2.082,-1.1922,8280100000.0,-11974800000.0,12247300000.0,0.2444,-0.066,-0.2976,0.0007,Consumer Defensive,1,10.69317245001439
PM,32578800000.000015,14554530625.83416,6376499999.999994,6806000000.0,4374394599.406565,3811930623.145408,2945109999.999978,2984166824.925854,4.42,4.42,1240626191.4000022,1209503567.3304286,0.2358,0.14300000000000002,0.0934,6932283261.231259,4558338241.042354,3112309351.409623,0.1294,0.093,3417000000.0,3417000000.0,15804000000.0,5721000000.0,33956000000.0,15386000000.0,45432000000.0,16253868239.765818,-54196236.080000006,10867000000.0,754000000.0,5535029999.999994,-960000000.0,-708000000.0,-2307700000.0,668325000.0,3579950000.0000076,1.8428,-0.519,2.1765814583579,1.027,0.40263876251137,0.22208501234889,1.8428,0.0503,1.1443,-1.2732,23918000000.0,-29628000000.0,33595000000.0,-0.519,-0.0984,-0.0922,0.0163,Consumer Defensive,1,10.865590267752056
KO,32578800000.000015,14554530625.83416,6376499999.999994,9820627155.265985,4374394599.406565,3811930623.145408,2945109999.999978,2984166824.925854,1.69,1.67,1240626191.4000022,1209503567.3304286,0.6053,0.2358,0.182,6932283261.231259,4558338241.042354,3112309351.409623,0.2165,0.166,5544279999.999984,8074379385.342812,22385388652.482235,12571000000.0,89996000000.0,22428295870.000042,64216210563.79823,16253868239.765818,22579866913.51845,1464000000.0,1967800000.000002,5535029999.999994,-2468000000.0,-5567929200.0,-2307700000.0,-754890021.91495,3579950000.0000076,4.218,0.2877,0.492177430108,1.24,0.88532808496417,0.5804523004938901,4.218,0.0393,1.4322,-1.2528,65864000000.0,-30837000000.0,67420000000.0,0.2877,-0.0461,-0.1009,-0.0082,Consumer Defensive,1,0.9589586364282942
WMT,32578800000.000015,14554530625.83416,6376499999.999994,9820627155.265985,4374394599.406565,3811930623.145408,2945109999.999978,2984166824.925854,5.07,5.05,1240626191.4000022,1209503567.3304286,0.2483,0.0552,0.0349,6932283261.231259,4558338241.042354,3112309351.409623,0.0501,0.0337,5544279999.999984,8074379385.342812,22385388652.482235,19721000000.0,100579249999.99992,22428295870.000042,64216210563.79823,16253868239.765818,22579866913.51845,12428205239.99999,1967800000.000002,5535029999.999994,-2646509537.2378783,-5567929200.0,-2307700000.0,668325000.0,3579950000.0000076,0.5688,0.201,2.3866086785591,0.97,0.24386618239774,0.13999356351432002,0.5688,0.0592,1.7456,-1.265,75016933439.99997,-39066714560.0,75738526479.74123,0.201,0.0198,0.0102,0.2282,Consumer Defensive,1,15.72912116448004
MDLZ,29636000000.0,11512000000.0,6376499999.999994,9437000000.0,2075000000.0,3811930623.145408,2945109999.999978,2984166824.925854,4.49,4.44,1240626191.4000022,1209503567.3304286,0.3884,0.2994,0.0767,6932283261.231259,4558338241.042354,3112309351.409623,0.2652,0.2452,1870000000.0,1870000000.0,8958000000.0,8362000000.0,62843000000.0,10922000000.0,34743000000.0,16253868239.765818,22579866913.51845,5191000000.0,894000000.0,3728000000.0,-1454000000.0,142097481.41721565,-2307700000.0,239000000.0,2274000000.0,2.4044,0.2594,0.47158792546505,0.82,0.52334737227614,0.17121406335835998,2.4044,0.1001,0.513,-1.6264,23411000000.0,-25785000000.0,26017000000.0,0.2594,-0.0861,-0.36,0.0466,Consumer Defensive,1,2.9766290907913966
MO,25434000000.0,11114000000.0,2708000000.0,2712000000.0,4374394599.406565,3811930623.145408,2945109999.999978,2984166824.925854,2.67,2.67,1240626191.4000022,1209503567.3304286,0.4370000000000001,0.3497,0.2207,6932283261.231259,4558338241.042354,3112309351.409623,0.3175,0.2061,2369000000.0,2369000000.0,4911000000.0,1982000000.0,31459000000.0,7070000000.0,28549000000.0,16253868239.765818,2880000000.0,6666000000.0,225000000.0,5535029999.999994,-229000000.0,-15000000.0,-2307700000.0,-754890021.91495,3579950000.0000076,4.4873,0.9968170000000012,0.8084808798753901,0.695,0.35261669024045,0.33507779349364003,4.4873,0.0459,1.1149,-1.0178,14146000000.0,-23638000000.0,17554000000.0,0.9972699999999972,0.0939,0.1026,0.2531,Consumer Defensive,1,22.15778008444545
