,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,assetTurnover,currentRatio,quickRatio,cashRatio,Price to Sales Ratio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Invested Capital,Gross Profit Growth,EBIT Growth,Operating Income Growth,EPS Growth,EPS Diluted Growth,Operating Cash Flow growth,Asset Growth,Sector,Class,2017 PRICE VAR [%]
PG,30347000000.0,-0.077,14035658633.625063,5952079999.999989,9216463157.894732,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,3.8,3.69,1165580220.4600005,1136849765.4799964,0.496,0.221,6406600000.000002,4323659999.999998,2757382000.000004,0.2121,0.1609,5401626436.477094,8361106999.999953,22236826315.78948,18836180000.0,99714000000.0,22752842489.87074,64115659999.99997,16001145833.333324,21868790453.800663,9792000000.0,2001000000.0,4917771249.999992,-2309752292.303819,-4923261914.9391,-2539980000.0,266000000.0,3564686581.890722,3.4515,0.5136153410520999,1.098,0.57591810204745,0.23080922976926,3.4515,0.0449,1.4689,0.2902,-1.0767,58259000000.0,-35371000000.0,50985000000.0,-0.0387,0.3891,0.2165,0.52,0.5123,0.0566,-0.0182,Consumer Defensive,1,12.53246293417185
VIPS,8148495608.3513,0.3156,1957755795.5364,688095896.3283,1567876889.8488,389878905.6875,379934485.2412,293278185.7451,293278185.7451,0.506,0.4855,16788463.2109,16696628.9417,0.2403,0.0481,532583585.3132,392201583.8733,286935493.1605,0.0466,0.036000000000000004,591731749.46,688459755.2195,2099477609.7912,643261483.0814,3613312167.0266,2099851115.9107,2780798992.0806,525993664.5068,825367890.5688,892314902.8077,140382001.4399,407690856.7315,-399153491.7207,-240317062.635,-56605903.5277,113058747.3002,8537365.0108,0.0231,2.2551319209867,0.14400000000000002,0.6457619882680601,0.28179700216668,0.0231,0.0451,1.3901,0.0844,-2.8433,3110603599.712,-681321382.2894,1049934773.2181,0.2841,0.1934,0.2222,0.1951,0.1911,0.3818,0.1706,Consumer Defensive,1,4.36331918758834
KR,30347000000.0,0.0126,14035658633.625063,5952079999.999989,9216463157.894732,3576000000.0,3084000000.0,2039000000.0,2039000000.0,2.09,2.06,974722765.0,966000000.0,0.2216,0.0325,5655000000.0,3566000000.0,2049000000.0,0.0281,0.0186,277000000.0,277000000.0,9892000000.0,18836180000.0,33897000000.0,12971000000.0,27099000000.0,14011000000.0,6820000000.0,4873000000.0,2001000000.0,4917000000.0,-2309752292.303819,-3570000000.0,-1338000000.0,9000000.0,1568000000.0,0.35600000000000004,2.3873718994869,0.763,0.15503816205381,0.021355331123275003,0.35600000000000004,0.0521,2.4115,0.1634,-1.6032,30120000000.0,-17207000000.0,28951000000.0,0.0602,0.1437,0.1399,0.2011,0.1977,0.1665,0.1115,Consumer Defensive,0,-17.06825150364822
RAD,20770237000.0,-0.2171,4991979000.0,4581171000.0,4621042000.0,370937000.0,214977000.0,165465000.0,165465000.0,3.2,3.2,52323166.0,52323166.0,0.2403,0.0193,762243000.0,401109000.0,165465000.0,0.0104,0.008,124471000.0,124471000.0,4550727000.0,2255398000.0,11277010000.0,2996895000.0,10695582000.0,-1610210000.0,581428000.0,1427250000.0,361134000.0,1014908000.0,-391199000.0,-2401858000.0,1395522000.0,8572000.0,623709000.0,0.4005,1.8418212806409,1.518,0.5757555736854301,0.041533320319864,0.4005,0.0201,6.1337,0.2206,-1.0833,8559156000.0,-6144855000.0,12431926000.0,-0.3411,-0.5135,-0.56,-0.9263,-0.9231,0.5639,0.2848,Consumer Defensive,0,-75.91687038144174
GIS,16563100000.0,-0.0605,5829500000.0,3118900000.0,3270300000.0,2559200000.0,2452600000.0,1697400000.0,1697400000.0,2.83,2.77,594401538.0,594401538.0,0.35200000000000004,0.1664,3364500000.0,2756400000.0,1736800000.0,0.1481,0.1025,763700000.0,763700000.0,3937200000.0,3743600000.0,21712300000.0,5014700000.0,15559600000.0,12616500000.0,4930200000.0,1595000000.0,608100000.0,2764200000.0,-724900000.0,93400000.0,-2420000000.0,429500000.0,2039300000.0,2.253,0.7628441021909201,0.785,0.42365445589966,0.15229226075339,2.253,0.0451,1.6285,0.1883,-1.1921,8432500000.0,-11622400000.0,11085000000.0,-0.0201,0.298,0.232,0.401,0.4061,0.0871,-0.0055,Consumer Defensive,0,-1.1629418530465272
PM,30347000000.0,0.0141,14035658633.625063,5952079999.999989,6391000000.0,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,4.48,4.48,1165580220.4600005,1136849765.4799964,0.2307,0.1418,6406600000.000002,4323659999.999998,2757382000.000004,0.1299,0.093,4239000000.0,4239000000.0,17608000000.0,6064000000.0,36851000000.0,16467000000.0,47751000000.0,16001145833.333324,-83481439.99999999,11585000000.0,743000000.0,4917771249.999992,-1172000000.0,-834000000.0,-2539980000.0,827469473.684184,3564686581.890722,1.8882,2.0339475183848,1.069,0.4699095160017,0.25742393878666,1.8882,0.0491,1.1593,0.0843,-1.5774,27057000000.0,-30143000000.0,35418000000.0,-0.0077,0.0054,0.0264,0.0136,0.0136,0.027000000000000003,0.0853,Consumer Defensive,1,20.190038576866343
KO,30347000000.0,-0.0549,14035658633.625063,5952079999.999989,9216463157.894732,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,1.51,1.49,1165580220.4600005,1136849765.4799964,0.6067,0.2113,6406600000.000002,4323659999.999998,2757382000.000004,0.1938,0.1559,5401626436.477094,8361106999.999953,22236826315.78948,10635000000.0,87270000000.0,22752842489.87074,64050000000.0,16001145833.333324,21868790453.800663,1017000000.0,1787000000.0,4917771249.999992,-2112000000.0,-1004000000.0,-2539980000.0,827469473.684184,3564686581.890722,4.3065,0.4796951988083,1.2819999999999998,0.98209709030605,0.68407960199005,4.3065,0.0361,1.347,0.3671,-1.1819,66142000000.0,-30040000000.0,67169000000.0,-0.0527,-0.1532,-0.0081,-0.1065,-0.1078,-0.1649,-0.0303,Consumer Defensive,1,13.45170798502823
WMT,30347000000.0,-0.0073,14035658633.625063,5952079999.999989,9216463157.894732,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,4.58,4.57,1165580220.4600005,1136849765.4799964,0.2513,0.0494,6406600000.000002,4323659999.999998,2757382000.000004,0.0441,0.0305,5401626436.477094,8361106999.999953,22236826315.78948,18836180000.0,99714000000.0,22752842489.87074,64115659999.99997,16001145833.333324,21868790453.800663,13050801346.441547,2001000000.0,4917771249.999992,-2309752292.303819,-4923261914.9391,-2539980000.0,-430000000.0,3564686581.890722,0.4483,2.3873718994869,0.932,0.2217459261208,0.1347127005989,0.4483,0.0679,1.8751,0.2013,-1.1468,70496150900.2406,-39463914931.33583,77913307999.99965,0.0048,-0.1122,-0.1121,-0.0966,-0.095,-0.0354,-0.0192,Consumer Defensive,1,47.54264341996496
MDLZ,25923000000.0,-0.1253,10104000000.0,5952079999.999989,7559000000.0,2545000000.0,1749000000.0,1635000000.0,1635000000.0,1.05,1.04,1165580220.4600005,1136849765.4799964,0.3898,0.1105,3687000000.0,2864000000.0,1645000000.0,0.0675,0.0631,1741000000.0,1741000000.0,8480000000.0,8229000000.0,61538000000.0,14417000000.0,36323000000.0,16001145833.333324,21868790453.800663,5117000000.0,823000000.0,2838000000.0,-1086000000.0,-1029000000.0,-1862000000.0,-129000000.0,1752000000.0,2.672,0.42125190938932,0.588,0.36144829021294,0.12076021363667998,2.672,0.0234,1.7358,0.2525,-1.3196,23161000000.0,-27843000000.0,24202000000.0,-0.1223,-0.6772,0.2265,-0.7661,-0.7658,-0.2387,-0.0208,Consumer Defensive,0,-2.718434801211381
MO,25744000000.0,0.0122,11572000000.0,2662000000.0,2811000000.0,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,7.28,7.184999999999982,1165580220.4600005,1136849765.4799964,0.4495,0.6216879999999997,6406600000.000002,4323659999.999998,2757382000.000004,0.6845279999999984,0.46468299999999974,4569000000.0,4569000000.0,7260000000.0,1958000000.0,45932000000.0,7375000000.0,33121000000.0,16001145833.333324,12770000000.0,6950000000.0,204000000.0,3826000000.0,-189000000.0,194015599.99999964,-2539980000.0,827469473.684184,3564686581.890722,5.1234,0.5604807106156899,0.984,0.64,0.61952542372881,5.1234,0.1076,0.2687,0.1034,-0.9265,28611000000.0,-25861000000.0,30548000000.0,0.0412,1.5406,0.0427,1.7266,1.7266,-0.3452,0.4601,Consumer Defensive,1,9.429037022838768
