,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,assetTurnover,currentRatio,quickRatio,cashRatio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Diluted Growth,Operating Cash Flow growth,Asset Growth,SG&A Expenses Growth,Sector,Class,2018 PRICE VAR [%]
PG,31939080000.0,-0.0037,14873059999.999985,6250910204.081651,9911321994.134869,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,5.8,5.59,1174421168.7599947,1166531399.9999998,0.4983,0.333,0.2898,0.236,6851127871.1704,4590750000.000007,3031702000.000004,0.2827,0.2356,5569000000.0,8451943891.880543,23761468367.346733,19596279989.999966,103017803499.99924,24183000000.0,64050330000.000305,17732896794.972454,24114386718.386272,7024000000.0,2109760000.000002,5659480000.0000105,-2415049693.63707,-4727600000.0,-2630933660.0,-670651770.0000001,3912306999.9999743,0.54032191086823,0.877,0.6531281032770601,0.18434293280371,0.0666,0.8321,0.2867,-1.2,51520000000.0,-38134000000.0,0.0009,0.3067,0.0242,0.4585,0.5263,0.5149,-0.0366,-0.1738,-0.0529,-0.0156,Consumer Defensive,1,4.975150851116607
VIPS,11020603536.8803,0.3525,2462793530.8343,820185157.1947,2056136033.8573,406657496.977,389328143.8936,294687877.8718,294687877.8718,0.5015,0.4819,17838364.873,17768172.4607,0.2235,0.0077,0.0365,0.0041,562256045.9492,401788089.48,286038845.2237,0.0353,0.0267,1545041112.4547,1582220828.2951,3917191354.2926,1006775241.838,5741055018.1378,2910774637.243,3587098548.9722,846838119.7098,2160598397.8235,928849153.567,160467956.4692,148314842.8053,-372474758.162,-307225816.2031,1083709794.4377,923883766.6264,-224159915.3567,1.9196129460635,0.2034,0.98432843823131,0.53080066477359,0.0401,0.5033,0.0744,-2.3212,5159756650.5441,330092805.3204,0.258,0.0244,0.043,0.0048,-0.0089,-0.0074,0.0489,-0.6362,0.5889,0.192,Consumer Defensive,0,-56.31999969482422
KR,31939080000.0,0.0501,14873059999.999985,6250910204.081651,9911321994.134869,3452000000.0,2932000000.0,1975000000.0,1975000000.0,2.08,2.05,938124655.0,942000000.0,0.224,0.05,0.0299,0.017,5794000000.0,3454000000.0,1957000000.0,0.0254,0.0171,322000000.0,322000000.0,10340000000.0,19596279989.999966,36505000000.0,12860000000.0,29795000000.0,15543000000.0,6698000000.0,4790000000.0,2109760000.000002,4272000000.0,-2415049693.63707,-3875000000.0,-352000000.0,45000000.0,573000000.0,2.2706152844586764,0.804,0.15326594090201998,0.025038880248834,0.0619,2.1630000000000003,0.1661,-1.5808,32321000000.0,-19455000000.0,0.0617,-0.0314,-0.0347,-0.0314,-0.0048,-0.0049,-0.0224,-0.1312,0.0769,0.0678,Consumer Defensive,0,-0.9904489187425342
RAD,22927540000.0,0.1039,5064707000.0,4776995000.0,4816124000.0,248583000.0,48491000.0,4053000.0,4053000.0,0.08,0.08,52618361.0,52618361.0,0.2209,0.029,0.0108,0.0,655922000.0,248556000.0,4053000.0,0.0021,0.0002,245410000.0,245410000.0,5065288000.0,1526462000.0,11593752000.0,3005248000.0,10979682000.0,-1854751800.0,614070000.0,1373630000.0,407366000.0,232117000.0,-254149000.0,-464259000.0,353081000.0,120939000.0,-22032000.0,1.9775772329786,1.685,0.6710048555061,0.08166048193027703,0.0008,10.812668999999996,0.2084,-0.6239,9195499000.0,-5914394000.0,0.0146,-0.3803,-0.3299,-0.9755,-0.975,-0.975,0.0192,-0.7713,0.0281,0.0427,Consumer Defensive,0,-66.6666659204426
GIS,15619800000.0,-0.057,5567800000.0,2888800000.0,3069200000.0,2498600000.0,2312700000.0,1657500000.0,1657500000.0,2.82,2.77,576135402.0,576135402.0,0.3565,0.206,0.16699999999999998,0.106,3211400000.0,2607800000.0,1701100000.0,0.1481,0.1061,766100000.0,766100000.0,4061400000.0,3687700000.0,21812600000.0,5330800000.0,16216200000.0,13138900000.0,4327900000.0,1372200000.0,603600000.0,2415200000.0,-680200000.0,-646900000.0,-1747400000.0,2400000.0,1735000000.0,0.7160906998707199,0.762,0.41198319201621,0.14371201320626995,0.0498,1.4571,0.1849,-1.1269,8535000000.0,-12154800000.0,-0.0449,-0.0539,-0.0237,-0.0235,-0.0035,0.0,-0.0229,-0.1263,0.0046,-0.0738,Consumer Defensive,0,-31.28041182968117
PM,31939080000.0,0.042,14873059999.999985,6250910204.081651,6735000000.0,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,3.88,3.88,1174421168.7599947,1166531399.9999998,0.2345,0.155,0.1441,0.077,6851127871.1704,4590750000.000007,3031702000.000004,0.1324,0.0773,5831476602.176539,8447000000.0,21594000000.0,7271000000.0,42968000000.0,15962000000.0,53198000000.0,17732896794.972454,-58694620.0,10715000000.0,875000000.0,5659480000.0000105,-1548000000.0,-3083000000.0,-2630933660.0,938929045.7406827,3912306999.9999743,1.8175851796686,1.3530000000000002,0.7633755168525199,0.5291943365492999,0.0372,1.4767,0.0851,-1.7691,32870000000.0,-31604000000.0,0.0591,0.0593,0.0622,-0.1338,-0.1339,-0.1339,0.0013,0.1034,0.166,0.0522,Consumer Defensive,0,-32.490965685952396
KO,31939080000.0,-0.1541,14873059999.999985,6250910204.081651,9911321994.134869,4664729689.999996,4001838743.1264772,1248000000.0,1248000000.0,0.293,0.29,1174421168.7599947,1166531399.9999998,0.6257,0.252,0.21600000000000005,0.035,6851127871.1704,4590750000.000007,1283000000.0,0.1923,0.0352,5831476602.176539,8451943891.880543,23761468367.346733,8203000000.0,87896000000.0,24183000000.0,64050330000.000305,17732896794.972454,17072000000.0,1943000000.0,1260000000.0,5659480000.0000105,-1571000000.0,-2254000000.0,-2630933660.0,-670651770.0000001,3912306999.9999743,0.40286247383271,1.344,0.8951239243950899,0.56475693167611,0.0064,5.5529,0.3574,-1.2468,71260000000.0,-32374000000.0,-0.1277,-0.1353,-0.1222,-0.8088,-0.8059999999999999,-0.8054,-0.0098,-0.2118,0.0072,-0.1767,Consumer Defensive,1,7.570640532756395
WMT,31939080000.0,0.0078,14873059999.999985,6250910204.081651,9911321994.134869,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,4.4,4.38,1174421168.7599947,1166531399.9999998,0.2565,0.066,0.0457,0.028,6851127871.1704,4590750000.000007,3031702000.000004,0.0408,0.0281,5831476602.176539,6867000000.0,23761468367.346733,19596279989.999966,103017803499.99924,24183000000.0,64050330000.000305,17732896794.972454,24114386718.386272,13809361656.662666,2109760000.000002,5659480000.0000105,-2415049693.63707,-4727600000.0,-2630933660.0,-670651770.0000001,3912306999.9999743,2.2706152844586764,0.862,0.18978603872819,0.10260279703562,0.0659,2.3216,0.2096,-1.0082,71498850000.0,-39746988411.80168,0.0287,-0.0666,-0.0556,-0.0715,-0.0393,-0.0416,-0.0326,0.1496,-0.0038,0.0496,Consumer Defensive,0,-3.2752502280311164
MDLZ,25896000000.0,-0.001,10034000000.0,5938000000.0,6758000000.0,3276000000.0,3494000000.0,2828000000.0,2828000000.0,1.87,1.85,1174421168.7599947,1166531399.9999998,0.3875,0.181,0.1497,0.109,4692000000.0,3876000000.0,2842000000.0,0.1349,0.1092,761000000.0,761000000.0,7520000000.0,8677000000.0,62957000000.0,15793000000.0,36883000000.0,17732896794.972454,24114386718.386272,5408000000.0,816000000.0,2593000000.0,-905000000.0,-301000000.0,-2630933660.0,-670651770.0000001,1688000000.0,0.41132836698064,0.476,0.27144937630596,0.04818590514785,0.0441,0.9169,0.2293,-1.1091,23233000000.0,-29363000000.0,-0.0069,0.3534,0.2872,0.7297,0.7809999999999999,0.7788,-0.0267,-0.0863,0.0231,-0.0929,Consumer Defensive,0,-3.3879000482479693
MO,25576000000.0,-0.0065,11963000000.0,2338000000.0,2370000000.0,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,5.31,5.31,1174421168.7599947,1166531399.9999998,0.4677,0.42,0.4116,0.4,6851127871.1704,4590750000.000007,3031702000.000004,0.3841,0.3997,1253000000.0,1253000000.0,4344000000.0,1914000000.0,43202000000.0,6792000000.0,27784000000.0,17732896794.972454,15377000000.0,5554000000.0,209000000.0,4901000000.0,-199000000.0,-467000000.0,-2630933660.0,-670651770.0000001,3912306999.9999743,0.5920096291838299,0.64,0.20538869257951006,0.18448174322733,0.0751,0.4795,0.0914,-0.9522,25495000000.0,-23440000000.0,0.0338,-0.534,0.095,-0.2821,-0.2706,-0.2706,-0.0159,0.281,-0.0594,-0.1217,Consumer Defensive,0,-26.452183250203014
