,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Assets,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,assetTurnover,currentRatio,quickRatio,cashRatio,operatingCashFlowPerShare,cashPerShare,Operating Cash Flow per Share,Cash per Share,Shareholders Equity per Share,Income Quality,Tangible Asset Value,Net Current Asset Value,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Diluted Growth,Operating Cash Flow growth,Asset Growth,SG&A Expenses Growth,Sector,Class,2019 PRICE VAR [%]
CMCSA,33676258073.006508,0.1115,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,2.56,2.53,1248940072.2799969,1250737344.2399998,1.0,0.1974,7233379999.999997,5175667817.2588825,3821023422.167106,0.1599,0.1241,3814000000.0,3814000000.0,21848000000.0,19858844600.000008,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,14711000000.0,2067260000.0000002,6379931724.1378975,-2699700000.0,-4963626553.036363,1498669999.9999878,338000000.0,4533185999.999979,0.37549864115319,0.792,0.54044850197442,0.13817338695069,5.3406,0.8383,5.3406,0.8383,15.7408,2.0712,75467350920.85007,-42405411219.38778,-2.7062,0.1115,0.022,0.055,-0.484,-0.47,-0.4674,-0.0305,0.1428,0.3426,0.1308,Consumer Cyclical,1,32.79457340696426
KMI,14144000000.0,0.032,6856000000.0,601000000.0,3062000000.0,3794000000.0,2196000000.0,1609000000.0,1481000000.0,0.66,0.66,1248940072.2799969,1250737344.2399998,0.4847,0.2908,6410000000.0,4113000000.0,1919000000.0,0.1553,0.1138,3280000000.0,3280000000.0,5722000000.0,19858844600.000008,78866000000.0,7557000000.0,43669000000.0,-1842900320.0000002,24718950000.000004,559000000.0,2832000000.0,2067260000.0000002,5043000000.0,-2699700000.0,-68000000.0,-1824000000.0,933075000.0000002,2119000000.0,0.17934217533538,0.757,0.6322614794230501,0.43403466984253,2.2757,1.4801,2.2757,1.4801,15.1977,3.4051,54021000000.0,-37947000000.0,-1.3195,0.0564,0.0405,0.0751,7.156111,6.346638000000011,6.252855999999998,-0.0063,0.0961,-0.0024,-0.1265,Energy,1,40.58806776062004
INTC,33676258073.006508,0.1289,15970500000.0,6750000000.0,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,4.57,4.48,1248940072.2799969,1250737344.2399998,0.6173,0.3273,7233379999.999997,5175667817.2588825,3821023422.167106,0.3291,0.2972,3019000000.0,8050877011.494213,22935184711.98408,19858844600.000008,109241000000.0,16626000000.0,53400000000.0,19512400000.000008,24718950000.000004,3162000000.0,11541000000.0,2067260000.0000002,6379931724.1378975,-2699700000.0,-4963626553.036363,-3570100000.0000005,-414000000.0,4533185999.999979,0.55366004235599,1.731,1.1050162396247,0.18158306267292,6.382999999999999,0.6547,6.382999999999999,0.6547,16.1707,1.398,75467350920.85007,-24613000000.0,-3.2923,0.1187,0.1203,0.2917,1.1928,1.2402,1.2513,-0.0277,0.3312,0.0382,-0.0942,Technology,1,30.295513769487663
MU,30391000000.0,0.4955,15970500000.0,813000000.0,2897000000.0,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,8.789599999999982,8.56,1159810627.0,1152000000.0,0.5887,0.4819,7233379999.999997,5175667817.2588825,3821023422.167106,0.4706,0.4651,5799200000.000004,6802000000.0,16039000000.0,19858844600.000008,43376000000.0,5754000000.0,10112000000.0,19512400000.000008,24718950000.000004,164000000.0,521000000.0,2067260000.0000002,6379931724.1378975,-2699700000.0,-4963626553.036363,-3570100000.0000005,933075000.0000002,4533185999.999979,0.7006409074142399,2.787,2.1341675356274,1.1306916927355,15.1042,5.6476,15.1042,5.6476,28.033,1.231,41817000000.0,764520400.0000002,-7.7075,1.1208,1.5233,1.5552,1.7776,1.6274,1.61,0.065,1.1342,0.2275,0.0942,Technology,1,64.21373673067748
GE,33676258073.006508,0.0285,15970500000.0,6756044999.99999,10918299999.999996,-179996704.444436,-226262560.0,-221511580.0,-222508520.0,-2.62,-2.62,1248940072.2799969,1250737344.2399998,0.2151,-0.1374,-122512180.0,-168192723.08,-221183420.0,-0.179,-0.1838,5799200000.000004,8050877011.494213,22935184711.98408,19858844600.000008,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,15393603099.999842,2067260000.0000002,4246000000.0,-2699700000.0,313054999.9999998,-3570100000.0000005,-821100000.0,709000000.0,0.39095450570929,1.7182084143933,1.4025869878373,0.46221245377727,0.4882,3.5782,0.4882,3.5782,3.5618,-0.1862,75467350920.85007,-42405411219.38778,-0.4066,0.7216,-1.6844,-1.4225,-1.5563,-1.5437,-1.5437,0.0005,-0.2961,-0.1575,0.0308,Industrials,1,44.75784025571753
BAC,33676258073.006508,0.0446,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,2.64,2.61,1248940072.2799969,1250737344.2399998,1.0,0.379,7233379999.999997,5175667817.2588825,3821023422.167106,0.379,0.3085,5799200000.000004,8050877011.494213,22935184711.98408,9906000000.0,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,1781000000.0,15393603099.999842,2063000000.0,6379931724.1378975,0.0,-4963626553.036363,1498669999.9999878,933075000.0000002,4533185999.999979,0.038754185058698,0.41173975018571,0.41079879921765,0.23564930900069006,3.9142,44.1766,3.9142,44.1766,26.2789,1.4804,75467350920.85007,-42405411219.38778,0.0,0.0446,0.1839,0.1612,0.6065,0.6196,0.6731,-0.0502,3.0065,0.0321,-0.0249,Financial Services,1,44.31598762467044
AAPL,33676258073.006508,0.1586,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,8.789599999999982,8.56,1248940072.2799969,1250737344.2399998,0.3834,0.2745,7233379999.999997,5175667817.2588825,3821023422.167106,0.2745,0.2241,5799200000.000004,8050877011.494213,22935184711.98408,19858844600.000008,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,15393603099.999842,2067260000.0000002,6379931724.1378975,-2699700000.0,313054999.9999998,-3570100000.0000005,933075000.0000002,4533185999.999979,0.72621505229339,1.133,0.99453976140569,0.22352474359306,15.6263,5.2293,15.6263,5.2293,21.6224,1.3007,75467350920.85007,-42405411219.38778,-2.6866,0.1548,0.1375,0.1557,0.2312,0.2956,0.2932,-0.0479,0.2057,-0.0256,0.0946,Technology,1,88.74246462864862
MSFT,33676258073.006508,0.1428,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,2.15,2.13,1248940072.2799969,1250737344.2399998,0.6525,0.3305,7233379999.999997,5175667817.2588825,3821023422.167106,0.3305,0.1502,5799200000.000004,8050877011.494213,22935184711.98408,19858844600.000008,109241000000.0,27167699999.999996,69270934340.99806,13682000000.0,24718950000.000004,3997989999.999998,15393603099.999842,2067260000.0000002,6379931724.1378975,-2699700000.0,-4963626553.036363,-3570100000.0000005,933075000.0000002,4533185999.999979,0.42635059957968,2.901,2.7398611681029,2.2871016276843,5.6992,17.3725,5.6992,17.3725,10.7426,2.6482,75467350920.85007,-6468000000.0,-1.5106,0.1556,0.2198,0.2079,-0.3499,-0.3465,-0.3446,-0.0049,0.1108,0.0341,0.1144,Technology,1,58.25926290883441
SIRI,5770692000.0,0.0637,3462086000.0,1311199000.0,1735138000.0,1726948000.0,1420574000.0,1175893000.0,1175893000.0,0.26,0.26,1248940072.2799969,1250737344.2399998,0.5999,0.3068,2071367000.0,1770647000.0,1175893000.0,0.2462,0.2038,54000000.0,54000000.0,478000000.0,1513000000.0,8173000000.0,2803000000.0,9990000000.0,-1842900320.0000002,-38662600.000000015,169000000.0,2064000000.0,300720000.0,1880418000.0,-355703000.0,-379276000.0,-1515146000.0,-14004000.0,1524715000.0,0.70606778416738,0.171,0.10239029611131,0.019265073135926,0.4214,0.035,0.4214,0.035,-0.4072,1.5991,3382000000.0,-9512000000.0,-0.0797,0.0418,0.0998,0.0525,0.8149,0.8571,0.8571,-0.0345,0.0134,-0.0188,0.0314,Consumer Cyclical,1,22.161943160855284
HPQ,33676258073.006508,0.1233,10669000000.0,4859000000.0,6605000000.0,4064000000.0,3013000000.0,3743699999.999985,3814549441.624353,3.3,3.26,1248940072.2799969,1250737344.2399998,0.1825,0.0695,4592000000.0,4064000000.0,3821023422.167106,0.0515,0.0911,5166000000.0,5166000000.0,21387000000.0,2198000000.0,34622000000.0,25131000000.0,35261000000.0,-473000000.0,-38662600.000000015,3997989999.999998,8852000000.0,528000000.0,4528000000.0,-374000000.0,-716000000.0,-3570100000.0000005,-821100000.0,4154000000.0,1.6888683496043,0.851,0.40901675221838,0.20556285066253,2.8037,3.1988,2.8037,3.1988,-0.3957,0.85,28654000000.0,-13874000000.0,-0.2316,0.1139,0.1549,0.1549,1.1089,1.2,1.2027,-0.04,0.2314,0.0519,0.1104,Technology,1,3.016788856333025
